state,population,area,density
Alabama,4817528,52423,91.89722068557694
Alaska,730307,656425,1.1125520813497354
Arizona,6551149,114006,57.46319491956564
Arkansas,2949828,53182,55.466661652438795
California,37999878,163707,232.12127764848174
Colorado,5189458,104100,49.85070124879923
Connecticut,3591765,5544,647.8652597402597
Delaware,917053,1954,469.32088024564996
District of Columbia,633427,68,9315.10294117647
Florida,19320749,65758,293.81594634873323
Georgia,9915646,59441,166.81492572466817
Hawaii,1390090,10932,127.15788510793999
Idaho,1595590,83574,19.09194247014622
Illinois,12868192,57918,222.17949514831312
Indiana,6537782,36420,179.51076331685886
Iowa,3075039,56276,54.6421032056294
Kansas,2885398,82282,35.067183588148076
Kentucky,4379730,40411,108.37964910544159
Louisiana,4602134,51843,88.77059583743225
Maine,1328501,35387,37.54206346963574
Maryland,5884868,12407,474.31836866285164
Massachusetts,6645303,10555,629.5881572714353
Michigan,9882519,96810,102.08159281066006
Minnesota,5379646,86943,61.87555064812578
Mississippi,2986450,48434,61.66019738200438
Missouri,6024522,69709,86.42387640046479
Montana,1005494,147046,6.8379554697169596
Nebraska,1855350,77358,23.983944776235166
Nevada,2754354,110567,24.911176029014083
New Hampshire,1321617,9351,141.33429579724094
New Jersey,8867749,8722,1016.7105021783995
New Mexico,2083540,121593,17.13536141060752
New York,19576125,54475,359.35979807251033
North Carolina,9748364,53821,181.1256572713253
North Dakota,701345,70704,9.91945293052727
Ohio,11553031,44828,257.7190818238601
Oklahoma,3815780,69903,54.586784544297096
Oregon,3899801,98386,39.63776350293741
Pennsylvania,12764475,46058,277.1391506361544
Rhode Island,1050304,1545,679.8084142394822
South Carolina,4723417,32007,147.57449932827194
South Dakota,834047,77121,10.814784559328848
Tennessee,6454914,42146,153.15602904190197
Texas,26060796,268601,97.02419574014989
Utah,2854871,84904,33.62469377178932
Vermont,625953,9615,65.10171606864274
Virginia,8186628,42769,191.41499684350813
Washington,6895318,71303,96.7044584379339
West Virginia,1856680,24231,76.62415913499237
Wisconsin,5724554,65503,87.39376822435614
Wyoming,576626,97818,5.894886421721973
